ZipCode,Population,HouseholdsPerZipCode,WhitePop,BlackPop,HispanicPop,AsianPop,HawaiianPop,IndianPop,MalePop,FemalePop,PersonsPerHousehold,AverageHouseValue,IncomePerHousehold
501,,,,,,,,,,,,,
544,,,,,,,,,,,,,
601,18570,6525,17479,663,18486,7,10,113,9078,9492,2.84,59500,9888
602,41520,15002,36828,2860,41265,42,32,291,20396,21124,2.76,54700,11384
603,54689,21161,46501,5042,53877,135,35,313,26597,28092,2.53,64500,10748
604,,,,,,,,,,,,91600,31199
605,,,,,,,,,,,,,
606,6615,2404,5979,371,6575,3,9,35,3268,3347,2.75,47300,9243
610,29016,10836,24510,2654,28789,57,31,200,14104,14912,2.67,61000,12629
611,,,,,,,,,,,,,
612,67010,26038,58332,5709,66435,133,54,551,31735,35275,2.55,68500,13000
613,,,,,,,,,,,,,
614,,,,,,,,,,,,,
616,11017,4142,9487,888,10965,7,4,53,5318,5699,2.65,49400,10476
617,24597,9078,20319,2257,24450,50,7,158,11827,12770,2.71,58800,11511
622,7853,3188,6936,545,7708,7,2,68,3783,4070,2.45,72800,13634
623,43061,16626,37190,3139,42665,73,21,252,20603,22458,2.58,70000,13565
624,26241,8444,21819,2644,26076,58,18,175,12833,13408,3.1,50600,12194
627,35159,12752,31651,2049,34950,50,12,215,17037,18122,2.75,62300,13168
631,1852,710,1756,64,1842,,9,6,903,949,2.61,50600,8345
636,,,,,,,,,,,,,
637,25287,9375,22121,1803,25160,24,29,193,12068,13219,2.68,58500,12485
638,18941,6558,17269,1049,18876,20,10,75,9330,9611,2.89,58200,10986
641,31191,11218,29304,995,31022,50,28,117,15249,15942,2.77,56900,9901
646,38199,13354,27818,7088,37453,149,35,453,18330,19869,2.86,85100,16378
647,6172,2384,5378,453,6123,4,5,81,3028,3144,2.58,48800,9607
650,14998,5290,13814,798,14912,12,9,77,7285,7713,2.83,64000,11544
652,4715,1700,4113,421,4666,12,,38,2322,2393,2.7,57300,12097
653,13307,4855,10647,1387,13230,10,11,122,6386,6921,2.73,51400,9770
656,21481,7471,17963,2064,21376,25,13,137,10428,11053,2.87,52100,11361
659,41953,15386,37315,2375,41604,63,34,214,20296,21657,2.72,65400,12378
660,17250,6821,14390,1732,17158,30,15,149,8027,9223,2.51,75400,16745
662,43282,16204,37082,4276,42856,89,15,292,21028,22254,2.65,60200,11753
664,16784,5615,15492,755,16722,20,16,99,8386,8398,2.98,75000,11220
667,25968,9762,21345,1625,25793,36,11,107,12713,13255,2.65,49300,11426
669,29744,10740,27619,1297,29536,33,22,156,14621,15123,2.75,61200,9758
670,9807,3548,8555,604,9746,8,7,64,4852,4955,2.74,56800,9556
674,44457,16435,37336,4631,44121,105,21,520,21192,23265,2.7,71400,12820
676,40316,14431,36842,2397,40090,47,14,143,19778,20538,2.78,137500,11271
677,15272,6028,13464,1075,14732,38,11,153,7414,7858,2.52,64400,11460
